# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-88.71698911445584,-89.60573967264395,0.006023187625382484,166.02504557318986,0.0,0.0
 0.062039348299934266,0.005773321106220835,0.0930590224499014,1.5,-88.71698911445584,-89.60731671395337,0.006023187625382484,166.02504557318986,0.0,0.0
 0.08722927356626517,0.011413419250347492,0.2239029327992992,5.194295297266524,-88.71501971079795,-89.6088937552628,0.006454457035281913,154.931699836828,0.07818219534541196,3.1037089042066763
 0.10621144016095255,0.016921305031595404,0.29016107059082646,3.490546638130929,-88.71295837657735,-89.61047079657222,0.0069234937544557056,144.43574811581752,0.10859320037698142,1.6020829276717397
 0.12192344332861743,0.022297989049659878,0.3422023252343549,3.3121973110741676,-88.71079949238413,-89.61204783788165,0.0074343414153430695,134.51090609535228,0.13740349783412242,1.8336489083984056
 0.13551010271011207,0.02754448190475768,0.3861503190580941,3.2346430855253083,-88.70853698733525,-89.61362487919106,0.007991525732328069,125.13255084128758,0.16652401339708198,2.1433168187481297
 0.14756195127848173,0.03266179419766952,0.42460808098289066,3.191025982995653,-88.70616429311696,-89.6152019205005,0.008600192086018817,116.27647266456788,0.19687388244645337,2.518275007953995
 0.15843176560649908,0.03765093652978899,0.45899057532747156,3.1631169868245843,-88.70367429242926,-89.61677896180991,0.009266132516016002,107.91988979993053,0.22907481328979235,2.9624177443712063
 0.16835066479063943,0.04251291950317536,0.4901736455957076,3.143803529941674,-88.70105926073283,-89.61835600311935,0.009995953123536516,100.04048514847429,0.2636413222755766,3.4849138340929726
 0.1774800528146087,0.04724875372061444,0.5187460764078718,3.129720276665544,-88.69831080075579,-89.61993304442876,0.010797171643772915,92.61684754050687,0.3010563216087282,4.098303110232388
 0.18593807174376228,0.05185944978568272,0.5451271868375557,3.119064954885824,-88.69541976791068,-89.6215100857382,0.011678347107148334,85.62855606405965,0.34180969200083594,4.818311561308613
 0.1938143756326689,0.0563460183028219,0.5696286710646455,3.110784521861706,-88.69237618604801,-89.62308712704761,0.0126493079016547,79.05570864230339,0.3864226045120922,5.664193908781412
 0.20117897484150776,0.06070946987741999,0.5924900257112645,3.104222510735029,-88.68916915115754,-89.62466416835704,0.013721305402772105,72.87936319805044,0.43546631656696105,6.659386432870298
 0.2080878261951018,0.06495081511590431,0.6139002015549135,3.098948688845546,-88.68578672164854,-89.62624120966646,0.014907318424722402,67.08114575063969,0.4895791407140598,7.832390853068344
 0.21458652431415218,0.06907106462584231,0.6340115257638821,3.094669707770226,-88.6822157925579,-89.62781825097589,0.01622231828597771,61.64347057993448,0.5494837620103783,9.217941839876094
 0.2207128285292282,0.0730712290160587,0.6529490292650698,3.0911790920511377,-88.6784419513152,-89.62939529228531,0.017683666293917814,56.549359356772285,0.6160061776583768,10.85849042303446
 0.22665241240941686,0.07695231889676526,0.6534279099335297,0.08062528926600525,-88.67444931086888,-89.63097233359474,0.019311548001944335,51.78248786163168,0.6722087821065028,9.462380796673044
 0.2325706084092928,0.0807153448797087,0.6358400402795575,-2.971829532908483,-88.67022031750616,-89.63254937490416,0.021129538607246444,47.327110098705454,0.7145747391282484,7.158593095367837
 0.2384691435220841,0.08436131757833658,0.6181149436105567,-3.0049997719879604,-88.66573552712745,-89.63412641621359,0.023165243575937838,43.168119373401204,0.7603227399583654,7.755824108075581
 0.24434796176935694,0.08789124760798976,0.6004489135704609,-3.0050308237188634,-88.66097334476814,-89.63570345752301,0.025451145933804976,39.29096169582565,0.8100577631440737,8.460037560912886
 0.25020700638049326,0.09130614558611722,0.5828421192828503,-3.00506233629716,-88.65590972002721,-89.63728049883244,0.028025643476345376,35.681607126845634,0.8642406871773327,9.247740481489632
 0.25604621972804964,0.09460702213252833,0.5652947323448086,-3.0050943326783908,-88.6505177888994,-89.63885754014186,0.03093429106507519,32.326585338462785,0.923400260767131,10.131428682008274
 0.26186554325210104,0.09779488786967537,0.5478069270373974,-3.0051268390790993,-88.64476745157502,-89.64043458145129,0.03423143678773686,29.212913445638428,0.9881453231823037,11.125874364533937
 0.2676649173712074,0.10087075342298905,0.5303788805726594,-3.005159885671178,-88.63862487124455,-89.6420116227607,0.037982219953390815,26.32810828927671,1.059179870849251,12.248657563394634
 0.2734442813769648,0.10383562942125821,0.5130107733853662,-3.0051935074501435,-88.63205187753807,-89.64358866407014,0.04226516278266993,23.660147841901416,1.1373212865522813,13.520763811586503
 0.27920357330836576,0.10669052649708119,0.49570278947963037,-3.005227745335979,-88.62500525139455,-89.64516570537955,0.04717545003432785,21.197466039483178,1.2235230002995565,14.967415226389914
 0.28494272980108,0.10943645528738564,0.4784551168434545,-3.0052626475809725,-88.61743586407616,-89.64674274668897,0.052829161759814294,18.928939371524777,1.3189024080493124,16.6190637719739
 0.29066168590544156,0.11207442643404829,0.4612679479478414,-3.005298271568353,-88.60928763304074,-89.6483197879984,0.05936882370941648,16.843857390447003,1.424775935800693,18.51273655879893
 0.2963603748650215,0.11460545058462131,0.4441414803519287,-3.005334686168792,-88.60049624941722,-89.64989682930782,0.06697063228807261,14.93191815329626,1.5427028367186935,20.693689680984686
 0.3020387278452254,0.11703053839320285,0.4270759174422535,-3.0053719747908945,-88.59098761490611,-89.65147387061725,0.07585406094513535,13.183209804987134,1.6745409354226253,23.217665256730392
